Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
119.20	11.603	29.279	0.034154	-3.2122	-3.1725	69.413	18.326	52.743	591.33	-0.0052201	112.39	0.084168	0.0052272	1.4393	0.69479	1.1326	1.9387	112.29	15.456	33.828	185.00	1.7916	10.437	0.0090185
119.30	11.668	29.258	0.034179	-3.2071	-3.1673	69.455	18.320	52.802	590.45	-0.0050051	112.12	0.084037	0.0052065	1.4474	0.69088	1.1321	1.9382	112.25	15.468	33.905	185.01	1.7885	10.449	0.0090353
119.40	11.733	29.237	0.034203	-3.2021	-3.1620	69.498	18.314	52.861	589.56	-0.0047890	111.85	0.083907	0.0051858	1.4556	0.68699	1.1315	1.9376	112.21	15.480	33.983	185.02	1.7854	10.462	0.0090520
119.50	11.799	29.215	0.034228	-3.1970	-3.1566	69.541	18.309	52.921	588.66	-0.0045716	111.58	0.083777	0.0051650	1.4638	0.68313	1.1310	1.9370	112.17	15.492	34.061	185.03	1.7823	10.475	0.0090689
119.60	11.864	29.194	0.034254	-3.1920	-3.1513	69.583	18.303	52.981	587.77	-0.0043530	111.31	0.083647	0.0051443	1.4721	0.67930	1.1305	1.9364	112.12	15.504	34.140	185.05	1.7791	10.488	0.0090859
119.70	11.931	29.173	0.034279	-3.1869	-3.1460	69.626	18.298	53.041	586.88	-0.0041333	111.04	0.083517	0.0051237	1.4804	0.67549	1.1299	1.9358	112.08	15.517	34.219	185.06	1.7760	10.500	0.0091029
119.80	11.997	29.151	0.034304	-3.1819	-3.1407	69.668	18.292	53.102	585.98	-0.0039123	110.77	0.083387	0.0051030	1.4888	0.67170	1.1294	1.9352	112.04	15.529	34.299	185.07	1.7729	10.513	0.0091200
119.90	12.064	29.130	0.034329	-3.1768	-3.1354	69.711	18.287	53.163	585.09	-0.0036901	110.51	0.083257	0.0050824	1.4971	0.66794	1.1288	1.9346	112.00	15.541	34.380	185.08	1.7699	10.526	0.0091372
120.00	12.130	29.108	0.034354	-3.1717	-3.1300	69.753	18.281	53.225	584.19	-0.0034666	110.24	0.083127	0.0050617	1.5056	0.66420	1.1283	1.9340	111.95	15.553	34.461	185.09	1.7668	10.539	0.0091544
120.10	12.198	29.087	0.034380	-3.1666	-3.1247	69.796	18.276	53.287	583.29	-0.0032419	109.97	0.082997	0.0050411	1.5140	0.66049	1.1277	1.9333	111.91	15.566	34.543	185.10	1.7637	10.552	0.0091718
